,metric
0,"[18.549212351743154, 18.549212351743154, 18.549212351743154, 17.421490692119633, 17.421490692119633, 17.421490692119633, 17.309392528065946, 17.309392528065946, 17.309392528065946, 17.67421235174315, 17.67421235174315, 17.67421235174315, 14.427313805956528, 14.427313805956528, 14.427313805956528, 14.227764745287823, 14.227764745287823, 14.227764745287823, 17.67421235174315, 17.67421235174315, 17.67421235174315, 13.101538193141037, 13.101538193141037, 13.101538193141037, 8.863523123837595, 8.863523123837595, 8.863523123837595]"
1,"[20.51026734470001, 20.51026734470001, 20.51026734470001, 19.099184292666028, 19.099184292666028, 19.099184292666028, 13.931022518522624, 13.931022518522624, 13.931022518522624, 19.979937258810097, 19.979937258810097, 19.979937258810097, 16.71850147421478, 16.71850147421478, 16.71850147421478, 12.658419504661937, 12.658419504661937, 12.658419504661937, 18.021603925476764, 18.021603925476764, 18.021603925476764, 12.271744220862411, 12.271744220862411, 12.271744220862411, 9.810280377189963, 9.810280377189963, 9.810280377189963]"
2,"[21.66913679164462, 21.66913679164462, 21.66913679164462, 19.852723653720734, 19.852723653720734, 19.852723653720734, 15.040159523748583, 15.040159523748583, 15.040159523748583, 19.988581236089072, 19.988581236089072, 19.988581236089072, 15.718092623499187, 15.718092623499187, 15.718092623499187, 11.504315970918812, 11.504315970918812, 11.504315970918812, 13.770517668715625, 13.770517668715625, 13.770517668715625, 13.784167058400305, 13.784167058400305, 13.784167058400305, 6.322843510113505, 6.322843510113505, 6.322843510113505]"
3,"[21.70842050171054, 21.70842050171054, 21.70842050171054, 17.17002464076864, 17.17002464076864, 17.17002464076864, 16.166654631225317, 16.166654631225317, 16.166654631225317, 20.414201526931745, 20.414201526931745, 20.414201526931745, 15.861916777100953, 15.861916777100953, 15.861916777100953, 13.030867196549806, 13.030867196549806, 13.030867196549806, 17.915836929794125, 17.915836929794125, 17.915836929794125, 11.382685980462137, 11.382685980462137, 11.382685980462137, 7.851030138606878, 7.851030138606878, 7.851030138606878]"
4,"[21.138806705754714, 21.138806705754714, 21.138806705754714, 18.49940976233167, 18.49940976233167, 18.49940976233167, 16.797816448084983, 16.797816448084983, 16.797816448084983, 19.272830477623547, 19.272830477623547, 19.272830477623547, 16.180204817091436, 16.180204817091436, 16.180204817091436, 12.307996624407776, 12.307996624407776, 12.307996624407776, 17.53671936651244, 17.53671936651244, 17.53671936651244, 13.84111851761403, 13.84111851761403, 13.84111851761403, 10.377441068852221, 10.377441068852221, 10.377441068852221]"
5,"[21.70842050171054, 21.70842050171054, 21.70842050171054, 20.590569371512785, 20.590569371512785, 20.590569371512785, 19.031474454902522, 19.031474454902522, 19.031474454902522, 20.47230939059943, 20.47230939059943, 20.47230939059943, 16.46843132652195, 16.46843132652195, 16.46843132652195, 12.958391445584807, 12.958391445584807, 12.958391445584807, 20.47230939059943, 20.47230939059943, 20.47230939059943, 13.277018188598062, 13.277018188598062, 13.277018188598062, 10.10031164099425, 10.10031164099425, 10.10031164099425]"
6,"[21.70842050171054, 21.70842050171054, 21.70842050171054, 20.490625489667043, 20.490625489667043, 20.490625489667043, 18.07467732061301, 18.07467732061301, 18.07467732061301, 20.777864946154992, 20.777864946154992, 20.777864946154992, 18.26840326744482, 18.26840326744482, 18.26840326744482, 15.629245823225988, 15.629245823225988, 15.629245823225988, 17.224184292666028, 17.224184292666028, 17.224184292666028, 13.968261975010568, 13.968261975010568, 13.968261975010568, 11.588805708706106, 11.588805708706106, 11.588805708706106]"
7,"[16.874818613047264, 16.874818613047264, 16.874818613047264, 18.476976099982366, 18.476976099982366, 18.476976099982366, 15.008194034996292, 15.008194034996292, 15.008194034996292, 16.796251192915424, 16.796251192915424, 16.796251192915424, 14.294995584642903, 14.294995584642903, 14.294995584642903, 10.798774444901824, 10.798774444901824, 10.798774444901824, 15.879584526248761, 15.879584526248761, 15.879584526248761, 13.325156319021431, 13.325156319021431, 13.325156319021431, 10.371997749605185, 10.371997749605185, 10.371997749605185]"
8,"[19.916753835043878, 19.916753835043878, 19.916753835043878, 16.597280334473698, 16.597280334473698, 16.597280334473698, 15.091358016818242, 15.091358016818242, 15.091358016818242, 17.536479867308227, 17.536479867308227, 17.536479867308227, 10.901340782552522, 10.901340782552522, 10.901340782552522, 8.309532823451597, 8.309532823451597, 8.309532823451597, 15.341866071352397, 15.341866071352397, 15.341866071352397, 10.217824068169236, 10.217824068169236, 10.217824068169236, 6.620671993639838, 6.620671993639838, 6.620671993639838]"
9,"[20.958420501710545, 20.958420501710545, 20.958420501710545, 19.972309390599435, 19.972309390599435, 19.972309390599435, 18.172985799596372, 18.172985799596372, 18.172985799596372, 17.284914612138667, 17.284914612138667, 17.284914612138667, 15.0389329716018, 15.0389329716018, 15.0389329716018, 13.960774402185555, 13.960774402185555, 13.960774402185555, 16.361747425589567, 16.361747425589567, 16.361747425589567, 12.998492857081919, 12.998492857081919, 12.998492857081919, 11.454852084530096, 11.454852084530096, 11.454852084530096]"
10,"[19.832912447176383, 19.832912447176383, 19.832912447176383, 16.519121765057452, 16.519121765057452, 16.519121765057452, 13.331078636676887, 13.331078636676887, 13.331078636676887, 19.30258236128648, 19.30258236128648, 19.30258236128648, 14.211253400593975, 14.211253400593975, 14.211253400593975, 11.034307353785954, 11.034307353785954, 11.034307353785954, 19.30258236128648, 19.30258236128648, 19.30258236128648, 10.978751798230396, 10.978751798230396, 10.978751798230396, 6.917513424223594, 6.917513424223594, 6.917513424223594]"
11,"[20.3266804826239, 20.3266804826239, 20.3266804826239, 15.753428121794798, 15.753428121794798, 15.753428121794798, 14.405049495118616, 14.405049495118616, 14.405049495118616, 18.080120639860045, 18.080120639860045, 18.080120639860045, 11.405867196549805, 11.405867196549805, 11.405867196549805, 10.224155236540286, 10.224155236540286, 10.224155236540286, 18.080120639860045, 18.080120639860045, 18.080120639860045, 11.405867196549805, 11.405867196549805, 11.405867196549805, 7.120502642128453, 7.120502642128453, 7.120502642128453]"
12,"[20.94453161282165, 20.94453161282165, 20.94453161282165, 18.216217721432585, 18.216217721432585, 18.216217721432585, 16.45478193683728, 16.45478193683728, 16.45478193683728, 19.208420501710545, 19.208420501710545, 19.208420501710545, 15.410662165877033, 15.410662165877033, 15.410662165877033, 11.98344756373907, 11.98344756373907, 11.98344756373907, 17.888976057266103, 17.888976057266103, 17.888976057266103, 13.572802418546416, 13.572802418546416, 13.572802418546416, 9.16087260895551, 9.16087260895551, 9.16087260895551]"
